datetime,value
2002-01-01 00:00:00,4.9123906670227475
2002-01-01 00:15:00,5.200692963959437
2002-01-01 00:30:00,5.466843977607296
2002-01-01 00:45:00,5.905712674169825
2002-01-01 01:00:00,4.732574927000926
2002-01-01 01:15:00,4.910763947019078
2002-01-01 01:30:00,5.169377617603117
2002-01-01 01:45:00,4.922858931091681
2002-01-01 02:00:00,6.176939782663188
2002-01-01 02:15:00,4.902284259013271
2002-01-01 02:30:00,4.790998231619486
2002-01-01 02:45:00,5.477824138445589
2002-01-01 03:00:00,5.351851055688558
2002-01-01 03:15:00,7.019779598787028
2002-01-01 03:30:00,6.054730525206066
2002-01-01 03:45:00,6.787341083101557
2002-01-01 04:00:00,4.86994233935298
2002-01-01 04:15:00,5.416969652693026
2002-01-01 04:30:00,6.281283660693499
2002-01-01 04:45:00,5.669223382813139
2002-01-01 05:00:00,6.684058515704384
2002-01-01 05:15:00,4.612019599398479
2002-01-01 05:30:00,5.8314742501065675
2002-01-01 05:45:00,5.5703033313484855
2002-01-01 06:00:00,5.076417308961892
2002-01-01 06:15:00,5.29085782751106
2002-01-01 06:30:00,5.154621981779797
2002-01-01 06:45:00,5.808486025364374
2002-01-01 07:00:00,5.026488185453039
2002-01-01 07:15:00,5.447962244926013
2002-01-01 07:30:00,5.339230413718832
2002-01-01 07:45:00,6.2838755670332995
2002-01-01 08:00:00,5.283749991787767
2002-01-01 08:15:00,5.432628606634203
2002-01-01 08:30:00,5.9137782479184215
2002-01-01 08:45:00,4.772521228408107
2002-01-01 09:00:00,5.594066525711746
2002-01-01 09:15:00,5.077211700538917
2002-01-01 09:30:00,5.008733913224787
2002-01-01 09:45:00,5.843460200525771
2002-01-01 10:00:00,5.00247557281295
2002-01-01 10:15:00,5.165199140271248
2002-01-01 10:30:00,7.104566375338557
2002-01-01 10:45:00,5.944372471197991
2002-01-01 11:00:00,5.868665730653489
2002-01-01 11:15:00,6.975262560080577
2002-01-01 11:30:00,5.774617442285907
2002-01-01 11:45:00,5.651307622368367
2002-01-01 12:00:00,5.914917713470631
2002-01-01 12:15:00,6.058351238226655
2002-01-01 12:30:00,4.533669255965863
2002-01-01 12:45:00,6.096610553220062
2002-01-01 13:00:00,4.889906027601928
2002-01-01 13:15:00,5.244789370490727
2002-01-01 13:30:00,5.8870567140302335
2002-01-01 13:45:00,5.641917765481054
2002-01-01 14:00:00,5.194523590467261
2002-01-01 14:15:00,5.3580991190408875
2002-01-01 14:30:00,5.5296957985847435
2002-01-01 14:45:00,5.635149014916298
2002-01-01 15:00:00,5.1604633642279785
2002-01-01 15:15:00,5.3517094763464605
