datetime,value,negatives,drops,rel_spike,abs_spike,truncation,high_truncation,high,shifts,qc_flag,nrfa_daily,nrfa_amax,nrfa_pot,consistency_flag
2003-01-01 00:00:00,6.303364440361106,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 00:15:00,5.965583450381844,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 00:30:00,5.097103896943816,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 00:45:00,5.339989161920523,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 01:00:00,4.859608254382485,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 01:15:00,5.604523302712012,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 01:30:00,5.712825591657659,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 01:45:00,6.448588858179601,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 02:00:00,5.075936526719361,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 02:15:00,4.743911857816477,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 02:30:00,7.116907308543021,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 02:45:00,5.523371701645401,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 03:00:00,5.407015982283783,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 03:15:00,5.109218173259375,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 03:30:00,5.001576805359632,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 03:45:00,5.340865584011888,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 04:00:00,5.340013532246811,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 04:15:00,4.80894190815217,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 04:30:00,5.305434297612591,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 04:45:00,5.495357965521324,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 05:00:00,5.835041679366039,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 05:15:00,5.161686150778637,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 05:30:00,6.378490030348103,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 05:45:00,5.394380735277999,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 06:00:00,4.898522220160813,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 06:15:00,4.73660024335032,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 06:30:00,5.628548058018729,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 06:45:00,4.839145251477344,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 07:00:00,5.2700906717140015,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 07:15:00,5.956424271009676,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 07:30:00,5.232624569457849,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 07:45:00,4.960984474707811,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 08:00:00,5.084138717389727,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 08:15:00,4.589060232356795,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 08:30:00,6.517158056973092,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 08:45:00,5.730588904334113,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 09:00:00,6.145261100946126,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 09:15:00,5.0983979711419805,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 09:30:00,6.027095389225225,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 09:45:00,5.818213683855614,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 10:00:00,5.871791455086825,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 10:15:00,5.138738588377831,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 10:30:00,4.613070434257852,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 10:45:00,6.029507251553339,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 11:00:00,5.020197579505323,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 11:15:00,4.862593001685868,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 11:30:00,5.0561929406232204,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 11:45:00,5.452962246638487,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 12:00:00,4.8956614238000125,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 12:15:00,5.689150258032505,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 12:30:00,4.8276445281831215,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 12:45:00,5.706433991225127,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 13:00:00,5.371020820152654,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 13:15:00,5.538499069650696,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 13:30:00,6.070123794390952,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 13:45:00,5.798664138701561,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 14:00:00,4.997478009435184,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 14:15:00,4.827608465314712,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 14:30:00,5.534003732336771,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 14:45:00,4.365595337398585,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 15:00:00,5.5635198947500255,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 15:15:00,5.281423805851395,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 15:30:00,4.589724297837478,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 15:45:00,5.249180724384392,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 16:00:00,5.145019998946481,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 16:15:00,4.996435117230743,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 16:30:00,5.222003843389652,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 16:45:00,7.133995729394904,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 17:00:00,5.853022514390536,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 17:15:00,4.784109350561116,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 17:30:00,6.117182587499227,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 17:45:00,5.390717430421088,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 18:00:00,5.025331354698872,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 18:15:00,5.029828830305358,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 18:30:00,5.17626810095806,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 18:45:00,5.931117299913361,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 19:00:00,5.542359312935746,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 19:15:00,6.128251024030673,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 19:30:00,5.912663319048594,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 19:45:00,5.575020270801748,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 20:00:00,4.997488020872373,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 20:15:00,5.869728083895331,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 20:30:00,4.909884787754058,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 20:45:00,5.5422272211600845,0,0,0,0,0,0,0,0,0,0,,,0.0
2003-01-01 21:00:00,5.553245464871985,0,0,0,0,0,0,0,0,0,0,,,0.0
