Rank,Water Year,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
,1961-1962,29/09/1962,00:00,,26.06,In Range,FEH,7_a,
,1962-1963,01/05/1963,00:00,,22.04,In Range,FEH,7_a,
,1963-1964,17/11/1963,09:00,2.34,35.702,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
,1964-1965,20/01/1965,00:00,2.26,33.326,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
,1965-1966,17/12/1965,00:00,2.65,46.529,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
,1966-1967,27/02/1967,00:00,2.68,48.46,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
,1967-1968,05/11/1967,00:00,2.68,48.46,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
,1968-1969,20/01/1969,09:00,2.73,51.807,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
,1969-1970,14/12/1969,00:00,2.42,38.135,In Range,CEH POTS 19-1-77,7_a,Threshold 2.048m applied
,1970-1971,18/11/1970,00:00,2.68,48.46,In Range,CEH POTS 19-1-77,7_b,Threshold 2.048m applied
27.0,1971-1972,07/06/1972,00:00,2.93,62.851,Extrap.,CEH POTS 19-1-77; FEH pots,7_b,Threshold 2.422m applied.
36.0,1972-1973,12/12/1972,00:00,2.63,44.78,In Range,CEH POTS 19-1-77,7_a,Threshold 2.083m applied
37.0,1973-1974,10/01/1974,00:00,2.62,44.455,In Range,CEH POTS 12-6-85,7_a,Threshold 2.048m applied
38.0,1974-1975,21/04/1975,00:00,2.57,42.844,In Range,CEH POTS 12-6-85,7_a,Threshold 2.048m applied
43.0,1975-1976,01/12/1975,00:00,2.05,27.362,In Range,CEH POTS 12-6-85,7_a,Threshold 2.048m applied
34.0,1976-1977,10/02/1977,00:00,2.64,45.898,In Range,CEH POTS 12-6-85,7_a,Threshold 2.048m applied
30.0,1977-1978,02/11/1977,00:00,2.73,51.807,In Range,CEH POTS 12-6-85,7_b,Threshold 2.048m applied
13.0,1978-1979,01/02/1979,00:00,3.15,86.879,Extrap.,CEH POTS 12-6-85; FEH pots,7_b,Threshold 2.048m applied.
17.0,1979-1980,27/12/1979,00:00,3.06,78.241,Extrap.,CEH POTS 12-6-85; FEH pots,7_b,Threshold 2.048m applied.
16.0,1980-1981,11/03/1981,00:00,3.1,81.999,Extrap.,CEH POTS 12-6-85; FEH pots,7_b,Threshold 2.048m applied. Out of bank rating.
34.0,1981-1982,02/10/1981,00:00,2.64,45.898,In Range,CEH POTS 12-6-85,7_a,Threshold 2.048m applied
15.0,1982-1983,05/11/1982,00:00,3.11,82.959,Extrap.,CEH POTS 12-6-85; FEH pots,7_b,Threshold 2.048m applied
29.0,1983-1984,14/12/1983,00:00,2.79,56.04,In Range,CEH POTS 12-6-85,7_b,Threshold 2.048m applied
32.0,1984-1985,23/08/1985,00:00,,50.26,In Range,IH AMAX 3-3-97,7_a,
7.0,1985-1986,25/08/1986,00:00,,94.06,In Range,IH AMAX 3-3-97,7_a,
11.0,1986-1987,08/12/1986,00:00,,87.88,In Range,IH AMAX 3-3-97,7_a,
2.0,1987-1988,18/10/1987,00:00,,127.12,In Range,IH AMAX 3-3-97,7_a,
26.0,1988-1989,26/10/1988,00:00,,64.44,In Range,IH AMAX 3-3-97,7_a,
21.0,1989-1990,28/01/1990,00:00,,74.61,In Range,IH AMAX 3-3-97,7_a,
40.0,1990-1991,09/01/1991,22:30,2.506,40.812,In Range,Digital Archive,7_a,
22.0,1991-1992,31/10/1991,17:15,2.989,71.878,Extrap.,Digital Archive,7_b,
4.0,1992-1993,12/06/1993,12:30,3.285,101.101,Extrap.,Digital Archive,7_b,
25.0,1993-1994,13/11/1993,11:45,2.927,66.636,Extrap.,Digital Archive,7_b,
24.0,1994-1995,27/01/1995,21:30,2.969,70.156,Extrap.,Digital Archive,7_b,
41.0,1995-1996,22/12/1995,10:00,2.497,40.529,In Range,Digital Archive,7_a,
28.0,1996-1997,06/08/1997,17:45,2.802,56.916,In Range,Digital Archive,7_b,
14.0,1997-1998,18/11/1997,07:15,3.118,83.732,Extrap.,Digital Archive,7_b,
23.0,1998-1999,23/10/1998,03:45,2.976,70.755,Extrap.,Digital Archive,7_b,
33.0,1999-2000,13/01/2000,02:30,2.707,50.247,In Range,Digital Archive,7_b,
10.0,2000-2001,08/12/2000,05:15,3.161,87.98,Extrap.,Digital Archive,7_b,
42.0,2001-2002,26/01/2002,14:15,2.494,40.434,In Range,Digital Archive,7_a,
19.0,2002-2003,27/11/2002,18:15,3.036,76.046,Extrap.,Digital Archive,7_b,
18.0,2003-2004,31/01/2004,12:15,3.051,77.413,Extrap.,Digital Archive,7_b,
39.0,2004-2005,22/10/2004,16:15,2.561,42.556,In Range,Digital Archive,7_a,
1.0,2005-2006,11/10/2005,21:45,3.65,147.935,Extrap.,Digital Archive,7_b,
12.0,2006-2007,13/07/2007,19:30,3.154,87.278,Extrap.,Digital Archive,7_b,
8.0,2007-2008,15/01/2008,11:00,3.21,93.008,Extrap.,Digital Archive,7_b,
5.0,2008-2009,13/12/2008,05:00,3.278,100.325,Extrap.,Digital Archive,7_b,
6.0,2009-2010,01/11/2009,12:30,3.225,94.588,Extrap.,Digital Archive,7_b,
31.0,2010-2011,17/11/2010,14:45,2.714,50.718,In Range,Digital Archive,7_b,
9.0,2011-2012,24/10/2011,21:15,3.203,92.277,Extrap.,Digital Archive,7_b,
3.0,2012-2013,26/01/2013,01:30,3.349,108.4,Extrap.,Digital Archive,7_b,
20.0,2013-2014,04/02/2014,00:00,3.034,75.86,Extrap.,Digital Archive,7_b,
