Rank,Water Year,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
,1992-1993,16/05/1993,07:00,1.194,30.087,In Range,Digital Archive,QHigh1993_1,
7.0,1993-1994,29/09/1994,15:30,2.29,206.796,Extrap.,Digital Archive,QHigh1993_1,
12.0,1994-1995,12/09/1995,15:00,2.14,168.766,In Range,Digital Archive,QHigh1993_1,
30.0,1995-1996,11/02/1996,10:30,1.751,93.022,In Range,Digital Archive,QHigh1993_1,
23.0,1996-1997,02/12/1996,17:00,1.997,137.289,In Range,Digital Archive,QHigh1993_1,
22.0,1997-1998,14/03/1998,00:30,2.007,139.346,In Range,Digital Archive,QHigh1993_1,
29.0,1998-1999,21/09/1999,08:30,1.813,103.075,In Range,Digital Archive,QHigh1993_1,
5.0,1999-2000,06/12/1999,14:30,2.408,240.584,Extrap.,Digital Archive,QHigh1993_1,
17.0,2000-2001,09/11/2000,09:45,2.054,149.3,In Range,Digital Archive,QHigh1993_1,
6.0,2001-2002,22/02/2002,08:15,2.325,216.451,Extrap.,Digital Archive,QHigh1993_1,
14.0,2002-2003,13/10/2002,19:15,2.109,161.559,In Range,Digital Archive,QHigh1993_1,
11.0,2003-2004,19/01/2004,14:15,2.147,170.423,In Range,Digital Archive,QHigh1993_1,
21.0,2004-2005,07/01/2005,11:00,2.014,140.798,In Range,Digital Archive,QHigh1993_1,
2.0,2005-2006,26/11/2005,06:00,2.5,269.435,Extrap.,Digital Archive,QHigh1993_1,
1.0,2006-2007,26/10/2006,16:15,2.695,338.326,Extrap.,Digital Archive,QHigh1993_1,
18.0,2007-2008,25/01/2008,19:00,2.048,147.895,In Range,Digital Archive,QHigh1993_1,
13.0,2008-2009,16/02/2009,23:00,2.133,167.119,In Range,Digital Archive,QHigh1993_1,
27.0,2009-2010,22/10/2009,15:30,1.834,106.642,In Range,Digital Archive,QHigh1993_1,
3.0,2010-2011,11/12/2010,06:45,2.454,254.728,Extrap.,Digital Archive,QHigh1993_1,
15.0,2011-2012,05/01/2012,05:30,2.09,157.136,In Range,Digital Archive,QHigh1993_1,
8.0,2012-2013,23/12/2012,12:30,2.279,203.689,Extrap.,Digital Archive,QHigh1993_1,
4.0,2013-2014,03/11/2013,10:45,2.437,249.281,Extrap.,Digital Archive,QHigh1993_1,
20.0,2014-2015,10/01/2015,11:15,2.033,144.688,In Range,Digital Archive,QHigh1993_1,
9.0,2015-2016,02/02/2016,17:00,2.151,171.256,In Range,Digital Archive,QHigh1993_1,
19.0,2016-2017,31/12/2016,14:00,2.042,146.606,In Range,Digital Archive,QHigh1993_1,
10.0,2017-2018,24/01/2018,21:45,2.148,170.661,In Range,Digital Archive,QHigh1993_1,
28.0,2018-2019,04/04/2019,18:45,1.83,105.871,In Range,Digital Archive,QHigh1993_1,
24.0,2019-2020,02/11/2019,22:30,1.96,129.86,In Range,Digital Archive,QHigh1993_1,
25.0,2020-2021,21/10/2020,16:30,1.93,124.044,In Range,Digital Archive,QHigh1993_1,
26.0,2021-2022,20/11/2021,13:45,1.845,108.545,In Range,Digital Archive,QHigh1993_1,
16.0,2022-2023,18/11/2022,18:00,2.056,149.734,In Range,Digital Archive,QHigh1993_1,
