Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
219,17/11/1963,09:00,2.34,35.702,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
199,28/11/1965,00:00,2.39,37.216,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
80,17/12/1965,00:00,2.65,46.529,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
90,18/12/1965,00:00,2.61,44.131,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
117,22/12/1965,00:00,2.56,42.524,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
173,29/12/1965,00:00,2.44,38.752,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
135,22/04/1966,00:00,2.51,40.938,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
158,05/10/1966,00:00,2.46,39.372,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
72,27/02/1967,00:00,2.68,48.46,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
185,29/09/1967,00:00,2.41,37.828,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
76,01/10/1967,00:00,2.67,47.81,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
72,05/11/1967,00:00,2.68,48.46,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
96,08/01/1968,00:00,2.6,43.808,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
166,24/12/1968,00:00,2.45,39.062,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
215,17/01/1969,09:00,2.35,36.003,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
58,20/01/1969,09:00,2.73,51.807,In Range,CEH POTS 9-3-72,7_b,Threshold 2.048m applied
123,21/01/1969,00:00,2.55,42.205,In Range,CEH POTS 9-3-72,7_a,Threshold 2.048m applied
182,14/12/1969,00:00,2.42,38.135,In Range,CEH POTS 19-1-77,7_a,Threshold 2.048m applied
110,06/11/1970,00:00,2.57,42.844,In Range,CEH POTS 19-1-77,7_a,Threshold 2.048m applied
215,16/11/1970,00:00,2.35,36.003,In Range,CEH POTS 19-1-77,7_a,Threshold 2.048m applied
96,17/11/1970,00:00,2.6,43.808,In Range,CEH POTS 19-1-77,7_a,Threshold 2.048m applied
72,18/11/1970,00:00,2.68,48.46,In Range,CEH POTS 19-1-77,7_b,Threshold 2.048m applied
68,20/11/1971,00:00,2.7,49.779,In Range,CEH POTS 19-1-77,7_b,Threshold 2.172m applied
43,30/11/1971,00:00,2.83,58.997,In Range,CEH POTS 19-1-77; FEH pots,7_b,Threshold 2.172m applied.
