Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
1,29/01/2002,14:45,,11.660996311610976,,Generated POTs (thr=11.4092),,Min separation 5 days
2,05/02/2002,01:00,,11.859557678626755,,Generated POTs (thr=11.4092),,Min separation 5 days
3,10/05/2002,23:15,,36.53949835157816,,Generated POTs (thr=11.4092),,Min separation 5 days
4,16/05/2002,22:30,,11.861224959517685,,Generated POTs (thr=11.4092),,Min separation 5 days
5,18/08/2002,07:15,,11.826491551992632,,Generated POTs (thr=11.4092),,Min separation 5 days
6,06/12/2002,08:30,,11.495709767363373,,Generated POTs (thr=11.4092),,Min separation 5 days
7,11/12/2002,09:30,,12.666009864002698,,Generated POTs (thr=11.4092),,Min separation 5 days
8,17/12/2002,10:30,,11.213880442487241,,Generated POTs (thr=11.4092),,Min separation 5 days
9,30/12/2002,01:00,,32.16955581262876,,Generated POTs (thr=11.4092),,Min separation 5 days
10,14/01/2003,02:00,,17.13615689478131,,Generated POTs (thr=11.4092),,Min separation 5 days
11,16/02/2003,23:15,,20.6637530003192,,Generated POTs (thr=11.4092),,Min separation 5 days
