Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
16,07/10/1993,06:30,2.122,164.554,In Range,Digital Archive,QHigh1993_1,
53,04/01/1994,20:30,1.901,118.595,In Range,Digital Archive,QHigh1993_1,
99,30/01/1994,10:00,1.709,86.611,In Range,Digital Archive,QHigh1993_1,
39,07/03/1994,06:30,2.002,138.315,In Range,Digital Archive,QHigh1993_1,
111,14/03/1994,16:30,1.666,80.37,In Range,Digital Archive,QHigh1993_1,
24,23/03/1994,09:00,2.065,151.698,In Range,Digital Archive,QHigh1993_1,
7,29/09/1994,15:30,2.29,206.796,Extrap.,Digital Archive,QHigh1993_1,
67,11/11/1994,05:30,1.813,103.075,In Range,Digital Archive,QHigh1993_1,
142,24/12/1994,08:30,1.61,72.717,In Range,Digital Archive,QHigh1993_1,
50,09/01/1995,20:00,1.919,121.957,In Range,Digital Archive,QHigh1993_1,
46,15/02/1995,20:30,1.941,126.155,In Range,Digital Archive,QHigh1993_1,
57,28/02/1995,05:00,1.854,110.119,In Range,Digital Archive,QHigh1993_1,
45,08/09/1995,17:30,1.948,127.511,In Range,Digital Archive,QHigh1993_1,
13,12/09/1995,15:00,2.14,168.766,In Range,Digital Archive,QHigh1993_1,
102,27/11/1995,11:00,1.707,86.313,In Range,Digital Archive,QHigh1993_1,
80,11/02/1996,10:30,1.751,93.022,In Range,Digital Archive,QHigh1993_1,
82,04/11/1996,18:00,1.748,92.554,In Range,Digital Archive,QHigh1993_1,
40,02/12/1996,17:00,1.997,137.289,In Range,Digital Archive,QHigh1993_1,
128,13/02/1997,18:30,1.628,75.119,In Range,Digital Archive,QHigh1993_1,
100,02/03/1997,07:30,1.708,86.462,In Range,Digital Archive,QHigh1993_1,
106,16/03/1997,21:30,1.686,83.233,In Range,Digital Archive,QHigh1993_1,
114,13/02/1998,04:30,1.66,79.524,In Range,Digital Archive,QHigh1993_1,
38,14/03/1998,00:30,2.007,139.346,In Range,Digital Archive,QHigh1993_1,
114,05/04/1998,05:30,1.66,79.524,In Range,Digital Archive,QHigh1993_1,
74,17/10/1998,07:00,1.786,98.609,In Range,Digital Archive,QHigh1993_1,
134,27/12/1998,17:00,1.623,74.446,In Range,Digital Archive,QHigh1993_1,
130,16/02/1999,01:30,1.627,74.984,In Range,Digital Archive,QHigh1993_1,
122,15/04/1999,11:00,1.639,76.614,In Range,Digital Archive,QHigh1993_1,
67,21/09/1999,08:30,1.813,103.075,In Range,Digital Archive,QHigh1993_1,
55,30/11/1999,23:30,1.866,112.242,In Range,Digital Archive,QHigh1993_1,
5,06/12/1999,14:30,2.408,240.584,Extrap.,Digital Archive,QHigh1993_1,
25,17/12/1999,09:00,2.06,150.605,In Range,Digital Archive,QHigh1993_1,
83,02/01/2000,10:00,1.746,92.242,In Range,Digital Archive,QHigh1993_1,
72,31/01/2000,06:00,1.794,99.918,In Range,Digital Archive,QHigh1993_1,
9,07/03/2000,14:30,2.235,192.23,Extrap.,Digital Archive,QHigh1993_1,
43,11/10/2000,00:30,1.956,129.074,In Range,Digital Archive,QHigh1993_1,
28,29/10/2000,16:15,2.052,148.866,In Range,Digital Archive,QHigh1993_1,
27,09/11/2000,09:45,2.054,149.3,In Range,Digital Archive,QHigh1993_1,
92,14/12/2000,17:00,1.727,89.32,In Range,Digital Archive,QHigh1993_1,
52,12/02/2001,18:15,1.912,120.642,In Range,Digital Archive,QHigh1993_1,
69,20/08/2001,10:30,1.8,100.908,In Range,Digital Archive,QHigh1993_1,
23,21/10/2001,06:30,2.074,153.68,In Range,Digital Archive,QHigh1993_1,
51,30/10/2001,18:30,1.917,121.58,In Range,Digital Archive,QHigh1993_1,
104,23/01/2002,21:30,1.701,85.425,In Range,Digital Archive,QHigh1993_1,
14,28/01/2002,20:15,2.137,168.059,In Range,Digital Archive,QHigh1993_1,
127,09/02/2002,08:00,1.63,75.389,In Range,Digital Archive,QHigh1993_1,
6,22/02/2002,08:15,2.325,216.451,Extrap.,Digital Archive,QHigh1993_1,
22,06/03/2002,08:45,2.083,155.68,In Range,Digital Archive,QHigh1993_1,
18,13/10/2002,19:15,2.109,161.559,In Range,Digital Archive,QHigh1993_1,
141,23/10/2002,15:00,1.611,72.849,In Range,Digital Archive,QHigh1993_1,
78,08/02/2003,22:45,1.77,96.027,In Range,Digital Archive,QHigh1993_1,
65,03/05/2003,03:45,1.822,104.593,In Range,Digital Archive,QHigh1993_1,
131,09/01/2004,09:00,1.625,74.715,In Range,Digital Archive,QHigh1993_1,
12,19/01/2004,14:15,2.147,170.423,In Range,Digital Archive,QHigh1993_1,
63,03/02/2004,08:45,1.83,105.956,In Range,Digital Archive,QHigh1993_1,
124,10/02/2004,20:45,1.638,76.477,In Range,Digital Archive,QHigh1993_1,
77,07/10/2004,20:30,1.777,97.151,In Range,Digital Archive,QHigh1993_1,
44,22/11/2004,10:45,1.953,128.486,In Range,Digital Archive,QHigh1993_1,
132,22/12/2004,11:30,1.624,74.581,In Range,Digital Archive,QHigh1993_1,
35,07/01/2005,11:00,2.014,140.798,In Range,Digital Archive,QHigh1993_1,
98,12/01/2005,18:00,1.714,87.358,In Range,Digital Archive,QHigh1993_1,
89,18/03/2005,08:45,1.74,91.312,In Range,Digital Archive,QHigh1993_1,
96,03/06/2005,10:00,1.716,87.658,In Range,Digital Archive,QHigh1993_1,
2,26/11/2005,06:00,2.5,269.435,Extrap.,Digital Archive,QHigh1993_1,
88,25/03/2006,19:15,1.741,91.467,In Range,Digital Archive,QHigh1993_1,
21,02/10/2006,14:15,2.088,156.799,In Range,Digital Archive,QHigh1993_1,
107,20/10/2006,03:30,1.683,82.799,In Range,Digital Archive,QHigh1993_1,
1,26/10/2006,16:15,2.695,338.326,Extrap.,Digital Archive,QHigh1993_1,
132,31/10/2006,14:45,1.624,74.581,In Range,Digital Archive,QHigh1993_1,
85,04/12/2006,15:45,1.744,91.932,In Range,Digital Archive,QHigh1993_1,
75,14/12/2006,00:00,1.783,98.122,In Range,Digital Archive,QHigh1993_1,
79,15/01/2007,14:00,1.763,94.913,In Range,Digital Archive,QHigh1993_1,
47,12/02/2007,08:00,1.936,125.192,In Range,Digital Archive,QHigh1993_1,
34,31/05/2007,03:00,2.016,141.215,In Range,Digital Archive,QHigh1993_1,
118,11/11/2007,07:00,1.657,79.104,In Range,Digital Archive,QHigh1993_1,
70,22/11/2007,16:00,1.799,100.742,In Range,Digital Archive,QHigh1993_1,
