Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
1,20/01/2000,12:15,,35.711641065488394,,Generated POTs (thr=10.7143),,Min separation 5 days
2,16/05/2000,13:30,,10.936884560598632,,Generated POTs (thr=10.7143),,Min separation 5 days
3,28/06/2000,09:45,,17.51538369189169,,Generated POTs (thr=10.7143),,Min separation 5 days
4,06/08/2000,14:45,,39.062882728595866,,Generated POTs (thr=10.7143),,Min separation 5 days
5,31/08/2000,05:00,,11.737827718517991,,Generated POTs (thr=10.7143),,Min separation 5 days
6,17/11/2000,05:45,,33.56750006397265,,Generated POTs (thr=10.7143),,Min separation 5 days
7,10/12/2000,21:15,,11.651567163810933,,Generated POTs (thr=10.7143),,Min separation 5 days
8,24/03/2001,05:30,,10.462326039287229,,Generated POTs (thr=10.7143),,Min separation 5 days
9,09/04/2001,18:15,,28.69294746827088,,Generated POTs (thr=10.7143),,Min separation 5 days
10,25/04/2001,07:00,,15.352298086142408,,Generated POTs (thr=10.7143),,Min separation 5 days
