Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
1,12/03/2001,02:30,,21.48103281230504,,Generated POTs (thr=15.6919),,Min separation 5 days
2,07/04/2001,16:00,,21.48103281230504,,Generated POTs (thr=15.6919),,Min separation 5 days
3,07/05/2001,19:30,,21.48103281230504,,Generated POTs (thr=15.6919),,Min separation 5 days
4,26/06/2001,01:30,,6444.0,,Generated POTs (thr=15.6919),,Min separation 5 days
5,01/10/2001,17:45,,6175.0,,Generated POTs (thr=15.6919),,Min separation 5 days
6,22/10/2001,11:45,,6329.0,,Generated POTs (thr=15.6919),,Min separation 5 days
7,23/11/2001,01:15,,21.39861640861155,,Generated POTs (thr=15.6919),,Min separation 5 days
8,09/12/2001,03:00,,21.48103281230504,,Generated POTs (thr=15.6919),,Min separation 5 days
9,27/01/2002,05:30,,21.19111473273879,,Generated POTs (thr=15.6919),,Min separation 5 days
10,29/04/2002,23:15,,6117.0,,Generated POTs (thr=15.6919),,Min separation 5 days
