Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
151,29/11/1965,00:00,,30.9,,Hydpeaks,,
136,10/12/1965,00:00,,32.6,,Hydpeaks,,
128,10/02/1966,00:00,,33.1,,Hydpeaks,,
179,19/04/1966,00:00,,28.3,,Hydpeaks,,
329,30/08/1966,00:00,,16.5,,Hydpeaks,,
242,23/10/1966,00:00,,23.5,,Hydpeaks,,
394,06/11/1966,00:00,,13.9,,Hydpeaks,,
93,11/12/1966,00:00,,36.8,,Hydpeaks,,
118,28/02/1967,00:00,,34.0,,Hydpeaks,,
248,10/03/1967,00:00,,23.2,,Hydpeaks,,
354,10/04/1967,00:00,,15.4,,Hydpeaks,,
228,06/05/1967,00:00,,24.2,,Hydpeaks,,
379,25/06/1967,00:00,,14.4,,Hydpeaks,,
284,17/10/1967,00:00,,19.1,,Hydpeaks,,
232,02/11/1967,00:00,,24.1,,Hydpeaks,,
255,26/12/1967,00:00,,22.2,,Hydpeaks,,
102,14/01/1968,00:00,,35.8,,Hydpeaks,,
413,05/02/1968,00:00,,13.5,,Hydpeaks,,
419,14/07/1968,00:00,,13.3,,Hydpeaks,,
340,09/08/1968,00:00,,15.9,,Hydpeaks,,
41,17/09/1968,00:00,,49.6,,Hydpeaks,,
213,09/10/1968,00:00,,25.5,,Hydpeaks,,
194,02/11/1968,00:00,,27.2,,Hydpeaks,,
79,15/12/1968,00:00,,41.0,,Hydpeaks,,
147,13/01/1969,00:00,,31.1,,Hydpeaks,,
156,21/02/1969,00:00,,30.3,,Hydpeaks,,
93,13/03/1969,00:00,,36.8,,Hydpeaks,,
321,03/08/1969,00:00,,17.0,,Hydpeaks,,
394,15/12/1969,00:00,,13.9,,Hydpeaks,,
159,30/01/1970,00:00,,30.2,,Hydpeaks,,
172,19/02/1970,00:00,,28.9,,Hydpeaks,,
98,12/03/1970,00:00,,36.5,,Hydpeaks,,
152,06/04/1970,00:00,,30.7,,Hydpeaks,,
119,30/11/1970,00:00,,33.9,,Hydpeaks,,
159,04/12/1970,00:00,,30.2,,Hydpeaks,,
91,24/01/1971,00:00,,37.2,,Hydpeaks,,
147,18/03/1971,00:00,,31.1,,Hydpeaks,,
323,25/04/1971,00:00,,16.9,,Hydpeaks,,
338,19/06/1971,00:00,,16.0,,Hydpeaks,,
250,28/11/1971,00:00,,23.0,,Hydpeaks,,
167,27/01/1972,00:00,,29.6,,Hydpeaks,,
205,12/02/1972,00:00,,26.3,,Hydpeaks,,
224,07/03/1972,00:00,,24.6,,Hydpeaks,,
183,06/12/1972,00:00,,28.0,,Hydpeaks,,
288,17/01/1974,00:00,,18.7,,Hydpeaks,,
142,11/02/1974,00:00,,31.6,,Hydpeaks,,
194,10/03/1974,00:00,,27.2,,Hydpeaks,,
208,28/09/1974,00:00,,26.1,,Hydpeaks,,
179,07/10/1974,00:00,,28.3,,Hydpeaks,,
55,19/11/1974,00:00,,47.7,,Hydpeaks,,
381,27/12/1974,00:00,,14.3,,Hydpeaks,,
83,18/01/1975,00:00,,39.6,,Hydpeaks,,
242,15/02/1975,00:00,,23.5,,Hydpeaks,,
7,09/03/1975,00:00,,86.8,,Hydpeaks,,
65,19/04/1975,00:00,,44.0,,Hydpeaks,,
68,17/05/1975,00:00,,42.7,,Hydpeaks,,
372,27/09/1975,00:00,,14.6,,Hydpeaks,,
4,06/05/1978,00:00,,96.9,,Hydpeaks,,
427,04/06/1978,00:00,,13.1,,Hydpeaks,,
108,28/12/1978,00:00,,35.4,,Hydpeaks,,
120,25/01/1979,00:00,,33.8,,Hydpeaks,,
13,02/02/1979,00:00,,74.3,,Hydpeaks,,
59,28/03/1979,00:00,,47.2,,Hydpeaks,,
112,08/04/1979,00:00,,35.2,,Hydpeaks,,
52,31/05/1979,00:00,,47.8,,Hydpeaks,,
17,28/12/1979,00:00,,70.7,,Hydpeaks,,
125,04/01/1980,00:00,,33.3,,Hydpeaks,,
117,05/02/1980,00:00,,34.4,,Hydpeaks,,
75,18/03/1980,00:00,,41.6,,Hydpeaks,,
310,02/04/1980,00:00,,17.6,,Hydpeaks,,
351,16/10/1980,00:00,,15.5,,Hydpeaks,,
86,10/03/1981,00:00,,39.3,,Hydpeaks,,
222,27/04/1981,00:00,,24.7,,Hydpeaks,,
70,10/05/1981,00:00,,42.4,,Hydpeaks,,
35,02/06/1981,00:00,,51.8,,Hydpeaks,,
329,20/10/1981,00:00,,16.5,,Hydpeaks,,
335,20/11/1981,00:00,,16.1,,Hydpeaks,,
27,30/12/1981,00:00,,54.7,,Hydpeaks,,
108,02/01/1982,00:00,,35.4,,Hydpeaks,,
379,16/03/1982,00:00,,14.4,,Hydpeaks,,
427,27/05/1982,00:00,,13.1,,Hydpeaks,,
247,26/06/1982,00:00,,23.3,,Hydpeaks,,
19,22/10/1982,00:00,,67.6,,Hydpeaks,,
58,23/11/1982,00:00,,47.3,,Hydpeaks,,
12,10/12/1982,00:00,,77.0,,Hydpeaks,,
138,01/02/1983,00:00,,32.3,,Hydpeaks,,
34,18/04/1983,00:00,,52.2,,Hydpeaks,,
21,01/06/1983,00:00,,65.3,,Hydpeaks,,
371,27/11/1983,00:00,,14.7,,Hydpeaks,,
67,26/01/1984,00:00,,43.0,,Hydpeaks,,
266,07/02/1984,00:00,,21.2,,Hydpeaks,,
263,24/03/1984,00:00,,21.6,,Hydpeaks,,
346,22/05/1984,00:00,,15.6,,Hydpeaks,,
344,20/09/1984,00:00,,15.7,,Hydpeaks,,
143,05/10/1984,00:00,,31.5,,Hydpeaks,,
46,24/11/1984,00:00,,48.5,,Hydpeaks,,
171,17/12/1984,00:00,,29.0,,Hydpeaks,,
25,22/01/1985,00:00,,56.1,,Hydpeaks,,
335,07/06/1985,00:00,,16.1,,Hydpeaks,,
32,26/12/1985,00:00,,53.2,,Hydpeaks,,
199,08/01/1986,00:00,,26.8,,Hydpeaks,,
354,03/02/1986,00:00,,15.4,,Hydpeaks,,
164,20/04/1986,00:00,,29.9,,Hydpeaks,,
394,26/08/1986,00:00,,13.9,,Hydpeaks,,
63,19/11/1986,00:00,,45.0,,Hydpeaks,,
162,31/12/1986,00:00,,30.0,,Hydpeaks,,
8,29/01/1988,00:00,,85.0,,Chart,,
272,30/04/1991,11:45,0.194,20.311,,Digital Archive,,
235,23/09/1992,15:45,0.172,23.965,,Digital Archive,,
291,04/10/1992,01:30,0.151,18.617,,Digital Archive,,
185,20/10/1992,20:15,0.187,27.964,,Digital Archive,,
259,26/10/1992,02:30,0.194,21.868,,Digital Archive,,
283,11/11/1992,18:15,0.18,19.131,,Digital Archive,,
62,26/11/1992,10:00,0.192,45.067,,Digital Archive,,
188,03/12/1992,19:00,0.192,27.545,,Digital Archive,,
357,07/12/1992,15:45,0.149,15.348,,Digital Archive,,
326,19/12/1992,04:45,0.144,16.697,,Digital Archive,,
203,07/01/1993,09:15,0.187,26.437,,Digital Archive,,
77,11/01/1993,01:30,0.187,41.317,,Digital Archive,,Non-independent peak removed
89,13/01/1993,23:30,0.179,38.456,,Digital Archive,,
392,18/02/1993,10:15,0.019,13.961,,Digital Archive,,
256,02/04/1993,03:15,0.146,22.107,,Digital Archive,,
193,10/04/1993,04:30,0.174,27.208,,Digital Archive,,
236,25/04/1993,18:30,0.276,23.826,,Digital Archive,,
416,11/06/1993,20:15,0.157,13.432,,Digital Archive,,
341,14/09/1993,11:00,,15.869,,Digital Archive,,
24,30/09/1993,09:45,,56.262,,Digital Archive,,
137,04/10/1993,10:30,0.083,32.335,,Digital Archive,,
1,13/10/1993,00:00,0.314,114.05,,Digital Archive,,
126,14/11/1993,18:45,0.184,33.25,,Digital Archive,,
121,15/12/1993,15:15,,33.61,,Digital Archive,,
200,21/12/1993,01:30,,26.663,,Digital Archive,,
101,31/12/1993,14:45,,36.063,,Digital Archive,,
51,07/01/1994,06:45,,47.901,,Digital Archive,,
40,10/01/1994,12:00,,49.619,,Digital Archive,,
92,03/02/1994,21:45,,37.108,,Digital Archive,,
342,24/02/1994,10:15,,15.862,,Digital Archive,,
305,01/04/1994,15:00,0.127,17.766,,Digital Archive,,
229,04/04/1994,15:15,0.142,24.191,,Digital Archive,,
73,10/04/1994,23:15,,42.011,,Digital Archive,,Non-independent peak removed
375,17/04/1994,00:00,,14.576,,Digital Archive,,
343,31/10/1994,09:00,,15.789,,Digital Archive,,
216,08/12/1994,23:15,,25.309,,Digital Archive,,
295,29/12/1994,22:00,,18.504,,Digital Archive,,
43,22/01/1995,09:00,0.202,49.381,,Digital Archive,,
57,26/01/1995,20:30,,47.568,,Digital Archive,,
31,30/01/1995,01:15,,53.529,,Digital Archive,,
29,01/02/1995,23:00,,53.8,,Digital Archive,,
257,14/02/1995,02:45,,21.917,,Digital Archive,,
301,17/02/1995,10:15,,18.103,,Digital Archive,,
251,23/02/1995,02:45,,22.79,,Digital Archive,,
95,03/03/1995,22:30,,36.592,,Digital Archive,,
405,13/07/1995,07:15,0.101,13.692,,Digital Archive,,
411,17/07/1995,22:30,0.097,13.567,,Digital Archive,,
423,22/07/1995,20:45,0.089,13.293,,Digital Archive,,Non-independent peak removed
402,26/07/1995,23:15,0.104,13.791,,Digital Archive,,Non-independent peak removed
337,23/12/1995,17:45,0.165,16.024,,Digital Archive,,
100,09/01/1996,13:45,0.197,36.201,,Digital Archive,,
209,12/02/1996,19:30,,26.073,,Digital Archive,,
237,26/02/1996,00:30,0.181,23.801,,Digital Archive,,
385,19/11/1996,18:45,0.171,14.189,,Digital Archive,,
349,05/01/1998,15:45,,15.529,,Digital Archive,,
131,09/04/1998,23:15,,32.8,,Digital Archive,,
37,15/04/1998,00:00,,51.3,,Chart,,
367,20/04/1998,11:30,,14.866,,Digital Archive,,
240,03/11/1998,10:00,0.155,23.645,,Digital Archive,,
378,09/11/1998,10:00,0.196,14.465,,Digital Archive,,
345,14/11/1998,14:15,0.192,15.609,,Digital Archive,,
158,26/12/1998,10:45,0.194,30.273,,Digital Archive,,
108,04/01/1999,12:00,0.184,35.4,,Chart,,
290,08/01/1999,09:15,,18.676,,Digital Archive,,
302,12/01/1999,23:00,0.15,18.066,,Digital Archive,,
176,16/01/1999,14:00,0.18,28.68,,Digital Archive,,
309,20/01/1999,14:30,0.157,17.649,,Digital Archive,,
239,28/01/1999,16:45,0.185,23.736,,Digital Archive,,
218,08/03/1999,05:45,,25.242,,Digital Archive,,
403,10/08/1999,09:15,0.166,13.713,,Digital Archive,,
369,13/12/1999,23:00,,14.796,,Digital Archive,,
115,25/12/1999,12:00,,34.738,,Digital Archive,,
246,25/02/2000,12:30,0.163,23.372,,Digital Archive,,
299,01/03/2000,11:45,0.141,18.267,,Digital Archive,,Non-independent peak removed
197,04/04/2000,14:45,,27.127,,Digital Archive,,
192,16/04/2000,04:15,0.172,27.268,,Digital Archive,,
334,19/04/2000,10:15,0.115,16.212,,Digital Archive,,
210,26/04/2000,19:00,0.152,25.885,,Digital Archive,,
18,28/05/2000,19:45,0.172,69.626,,Digital Archive,,
231,10/10/2000,07:45,0.175,24.145,,Digital Archive,,
44,21/10/2000,11:45,0.194,48.965,,Digital Archive,,
3,30/10/2000,23:30,0.344,99.094,,Digital Archive,,
20,06/11/2000,18:00,0.206,66.19,,Digital Archive,,
64,12/11/2000,10:15,0.187,44.756,,Digital Archive,,
202,19/11/2000,23:00,0.168,26.509,,Digital Archive,,
85,28/11/2000,13:15,0.19,39.423,,Digital Archive,,
244,01/12/2000,20:15,0.158,23.412,,Digital Archive,,
81,08/12/2000,12:15,0.192,40.95,,Digital Archive,,
133,13/12/2000,08:00,0.177,32.706,,Digital Archive,,
150,25/12/2000,02:00,0.17,31.045,,Digital Archive,,
212,01/01/2001,19:30,0.167,25.545,,Digital Archive,,
26,04/01/2001,21:15,0.197,56.056,,Digital Archive,,
72,24/01/2001,09:15,0.165,42.342,,Digital Archive,,
23,27/01/2001,09:45,0.21,61.287,,Digital Archive,,
11,05/02/2001,05:45,0.254,81.213,,Digital Archive,,
16,08/02/2001,23:15,0.236,71.308,,Digital Archive,,
10,13/02/2001,09:15,0.239,82.125,,Digital Archive,,
165,09/03/2001,03:15,0.177,29.742,,Digital Archive,,
99,12/03/2001,02:30,0.175,36.356,,Digital Archive,,
